四时运灰琯 一夕变冬春 送寒余雪尽 迎岁早梅新
海门连洞庭 每去三千里 十载一归来 辛苦潇湘水
玉钗空中堕 金钏色已歇 独泣谢春风 秋夜伤明月
我昔胜君昔 君今胜我今 荣华各异代 何用苦追寻
秋径填黄叶 寒摧露草根 猿声一叫断 客泪数重痕
我本邯郸士 祇役死河湄 不得家人哭 劳君行路悲
忽作无期别 沈冥恨有余 长安虽不远 无信可传书
门依楚水岸 身寄洋州馆 望月独相思 尘襟泪痕满
虚虚复空空 瞬息天地中 假合成此像 吾亦非吾躬
我有敌国雠 无人可为雪 每至秦陇头 游魂自呜咽
戚戚复戚戚 秋堂百年色 而我独茫茫 荒郊遇寒食
异国非所志 烦劳殊清闲 惊涛千万里 无乃见钟山
峄阳桐半死 延津剑一沈 如何宿昔内 空负百年心
石沈辽海阔 剑别楚天长 会合知无日 离心满夕阳
黄帝上天时 鼎湖元在兹 七十二玉女 化作黄金芝
岭上千峰秀 江边细草春 今逢浣纱石 不见浣纱人
红树醉秋色 碧溪弹夜弦 佳期不可再 风雨杳如年
卜得上峡日 秋江风浪多 巴陵一夜雨 肠断木兰歌
楚水平如镜 周回白鸟飞 金陵几多地 一去不知归
月落三株树 日映九重天 良夜欢宴罢 暂别庚申年
色分蓝叶青 声比磬中鸣 七月初七夜 吾当示汝形
鸟鼠是家川 周王昔猎贤 一从离子卯 应见海桑田
既食丈人粟 又饱丈人刍 今日相偿了 永离三恶途
可惜春时节 依然独自游 无端两行泪 长只对花流
谁家少年儿 心中暗自欺 不道终不可 可即恐郎知
神女得张硕 文君遇长卿 逢时两相得 聊足慰多情
九登龙门山 三饮太湖水 毕竟不成龙 命负张胡子
彼见是忘忧 此看同腐草 青山与白云 方展我怀抱
一尉惭梅福 三年愧孟光 此情何所喻 川上有鸳鸯
琴瑟情虽重 山林志自深 常忧时节变 辜负百年心
幽室锁妖艳 无人兰蕙芳 春风三十载 不尽罗衣香
月明阶悄悄 影只腰身小 谁是鶱翔人 愿为比翼鸟
桃花洞口开 香蕊落莓苔 佳景虽堪玩 萧郎殊未来
耸辔排金阙 乘轩上汉槎 浮名何足恋 高举入烟霞
卜筑郊原古 青山无四邻 扶疏绕屋树 寂寞独归人
莫以真留妾 从他理管弦 容华难久驻 知得几多年
耸膊成山字 埋肩不出头 谁家麟角上 画此一猕猴
索头连背暖 漫裆畏肚寒 只因心浑浑 所以面团团
高下八九尺 东西六七步 突兀当厅坐 几许遮贤路
崔子曲如钩 随例得封侯 髆上全无项 胸前别有头
刺鼻何曾嚏 蹋面不知嗔 高生两个齿 自谓得胜人
将肉遣狼守 置骨向狗头 自非阿罗汉 焉能免得偷
道善何曾善 言兴且不兴 如来烧赤尽 惟有一群僧
马带桃花锦 裙衔绿草罗 定知帏帽底 仪容似大哥
叔慎骑乌马 僧伽把漆弓 唤取长安令 共猎北山熊
榆儿复榆妇 造屋兼造车 十七八九夜 还书复借书
面作天地玄 鼻有雁门紫 既无左达承 何劳罔谈彼
崇裕有幸会 得遇明流行 司士向京去 旷野哭声哀
龙褒有何罪 天恩放岭南 敕知无罪过 追来与将军
遥看沧海城 杨柳郁青青 中央一群汉 聚坐打杯觥
檐前飞七百 雪白后园强 饱食房里侧 家粪集野螂
暗去也没雨 明来也没云 日头赫赤出 地上绿氤氲
有意嫌兵部 专心望考功 谁知脚踜蹬 却落省墙东
御史非常任 参军不久居 待君迁转后 此职还到余
员外由来美 郎中望亦优 宁知粉署里 翻作土山头
锦帐随情设 金炉任意熏 唯愁员外置 不应列星文
柳州柳刺史 种柳柳江边 柳管依然在 千秋柳拂天
终南南太守 南郡在云南 闲向南亭醉 南风变俗谈
昔人有玉碗 击之千里鸣 今日睹斯文 碗有当时声
鄠县李长官 横琴膝上弄 不闻有政声 但见手子动
呼十却为石 唤针将作真 忽然云雨至 总道是天因
侧坡蛆蜫蜦 蚁子竞来拖 一朝白雨中 无钝无喽罗
紫绿终朝染 因何不识非 莆田竹木贵 背负十柴归
灵岿作尽业 惟恭继其迹 地狱千万重 莫厌排头入
破落三间屋 萧条一旅人 不知负何事 生死厄于陈
走却坐禅客 移将不动尊 世间颠倒事 八万四千门
吃得肚婴撑 寻思绕寺行 空中设罗网 只待杀众生
自是硇砂发 非干骇石伤 牒高身上职 碗大背边创
行似针毡动 卧若栗球圆 莫欺如此大 谁敢便行拳
道格何曾格 言糊又不糊 浑身总是眼 还解识人无
当途当途见 芜湖芜湖见 八月十五夜 一似没柄扇
未到桃源时 长忆出家景 及到桃源了 还似鉴中影
奉敕追三樵 随侯傍道走 回头语李郎 唤取尔朱九
韦子凝而密 任生直且狂 可怜元福庆 也学坐凝床
柱下虽为史 台中未是官 何时闻必也 早晚见任端
确确无余事 钱财总被收 商人都不管 货赂几时休
叶落满庭阴 朱门试院深 昔年辛苦地 今日负前心
猫儿不识主 傍家搦老鼠 两家不须争 将来与裴谞
野鸭滩头宿 朝朝被鹘梢 忽惊飞入水 留命到今朝
廉州颜有道 性行同庄老 爱民如赤子 不杀非时草
鲁地抑种稻 一概被水沫 年年索蟹夫 百姓不可活
我欲逃乡里 我欲去坟墓 左公今既来 谁忍弃之去
吾乡有鬼巫 惑人人不知 天子正尊信 左公能杀之
邻邑谷不登 我土丰粢盛 禾稼美如云 实系我使君
此水连泾水 双珠血满川 青牛将赤虎 还号太平年
日日草重生 悠悠傍素城 诸侯逐兔白 夏满镜湖平
月落三株树 日映九重天 良夜欢宴罢 暂别庚申年
欲知圣人姓 由八二十一 欲知圣人名 果头三屈律
丁与水同宫 王将耳口同 尹来居口上 山岫获重重
尔后一千岁 此地化为泉 赖逢邬侍御 移我向高原
一只青乌子 飞来五两头 借问船轻重 寄信到扬州
佳城今已开 虽开不葬埋 漆灯犹示灭 留待沈彬来
宁食三斗艾 不见屈突盖 宁服三斗葱 不逢屈突通
萧佺驸马子 邹昉骆驼儿 非关道德合 只为钱相知
不须赛神明 不必求巫祝 尔莫犯卢公 立便有祸福
枣子塞鼻孔 悬栖阁却种 蝉鸣蛁蟟唤 黍种糕糜断
白日无谈人 谈人则害生 昏夜无说鬼 说鬼则怪至
树下彼何人 不语真吾好 语若及日中 烟霏谢成宝
龛龙去东海 时日隐西斜 敬文今不在 碎石入流沙
洮河李阿婆 鄯州王伯母 见贼不敢斗 总由曹新妇
新禾不入箱 新麦不入场 迨及八九月 狗吠空垣墙
补阙连车载 拾遗平斗量 欔槌侍御史 碗脱侍中郎
评事不读律 博士不寻章 糊心宣抚使 眯目圣神皇
山南乌鹊窠 山北金骆驼 镰柯不凿孔 斧子不施柯
岑愔獠子后 崔湜令公孙 三人相比校 莫贺咄骨浑
可怜圣善寺 身著绿毛衣 牵来河里饮 蹋杀鲤鱼儿
不怕上兰单 惟愁答辨难 无钱求案典 生死任都官
欲识圣人姓 千里草青青 欲识圣人名 日从日上生
莫打南来雁 从他向北飞 打时双打取 莫遣两分离
太岁当头坐 诸神不敢当 其中有一物 常带洞庭香
太乙接天河 金华宝贝多 郡侯六十六 别处不经过
近来好裹束 各自竞尖新 秤无三五两 因何号一斤
此物不难知 一雄兼一雌 谁将打破看 方明混沌时
赠尔乌玉玦 泉清研须洁 避暑悬葛囊 临风度梅月
藤花无次第 万朵一时开 不是周从事 何人唤我来
山榴逼砌栽 山火一团开 尽日风兼雨 春渠拥作堆
春来冰未泮 冬至雪初晴 为报方袍客 丰年瑞已成
象曰云雷屯 大君理经纶 马上取天下 雪中朝海神
延绵不可穷 寒光彻云际 落石早雷鸣 溅空春雨细
人莫嫌山小 僧还爱寺灵 殿高神气力 龙活客丹青
安得神仙术 试为施康济 使此平望村 如吾江子汇
可致清川广 难量利物功 涓流此山下 谁识去无穷
柳色青山映 梨花雪鸟藏 绿窗桃李下 闲坐叹春芳
